iter	Logloss
0	0.567572055
1	0.5187617252
2	0.4983925615
3	0.4876949886
4	0.4818536139
5	0.4761279303
6	0.4731706434
7	0.4703839332
8	0.467604886
9	0.4655255436
10	0.4636547574
11	0.4620122488
12	0.4609150079
13	0.4594920115
14	0.4586504182
15	0.457502656
16	0.4561742267
17	0.4551548958
18	0.4545316931
19	0.4537882776
20	0.4533312184
21	0.4528658941
22	0.4523745942
23	0.451936806
24	0.4514237536
25	0.4510114291
26	0.4507065106
27	0.4503533277
28	0.4500695395
29	0.4497168766
30	0.4494559171
31	0.4491200992
32	0.4487718638
33	0.4485031228
34	0.4482709672
35	0.4477722202
36	0.4474006669
37	0.4471536951
38	0.4469093825
39	0.4464426326
40	0.4462048788
41	0.4458452183
42	0.4454267006
43	0.4451131529
44	0.4448956148
45	0.4446778407
46	0.4444224729
47	0.4441474554
48	0.443923489
49	0.4436486236
50	0.4434294464
51	0.4431798412
52	0.4429645095
53	0.4427196968
54	0.4424770981
55	0.4423245865
56	0.4421703733
57	0.4419904677
58	0.4417744888
59	0.4416015609
60	0.4414272658
61	0.4412588859
62	0.4410558673
63	0.4408999679
64	0.4407430352
65	0.4405471932
66	0.4403401973
67	0.4401296284
68	0.4399556074
69	0.4397799219
70	0.4395134986
71	0.4393657002
72	0.4392212944
73	0.4389903685
74	0.4387420276
75	0.4385932599
76	0.4384511449
77	0.4382693978
78	0.4381101119
79	0.4379800326
80	0.4378103166
81	0.4376286202
82	0.4374392198
83	0.4373138395
84	0.4371544056
85	0.4370031325
86	0.4368395897
87	0.4366603843
88	0.4365291925
89	0.4364175929
90	0.4362103784
91	0.4361084771
92	0.4359942157
93	0.435813724
94	0.4356402865
95	0.4354806623
96	0.4353660572
97	0.435203464
98	0.4349870645
99	0.4348600167
100	0.4347008855
101	0.4346214217
102	0.434466889
103	0.4343615202
104	0.4342809265
105	0.4342180479
106	0.4342069171
107	0.434073319
108	0.4339232185
109	0.4338108585
110	0.4336821084
111	0.433581074
112	0.4334552309
113	0.4332951648
114	0.4331538564
115	0.4330413212
116	0.4329259648
117	0.432804105
118	0.4326504011
119	0.4325246541
120	0.4323666973
121	0.4322335443
122	0.4321676013
123	0.4320341194
124	0.4319309272
125	0.4319239217
126	0.4317909368
127	0.4316281626
128	0.431466716
129	0.4313463058
130	0.4311687388
131	0.4310942798
132	0.4309770128
133	0.4308490609
134	0.4306965696
135	0.4305493462
136	0.4304102394
137	0.4302736961
138	0.4301462485
139	0.4300329548
140	0.4298923997
141	0.4297333322
142	0.4294782362
143	0.4293307076
144	0.4292121674
145	0.4290641801
146	0.4289275321
147	0.4288038968
148	0.4286775697
149	0.4285266814
