iter	Passed	Remaining
0	24	3617
1	47	3517
2	68	3355
3	87	3197
4	111	3234
5	131	3153
6	148	3041
7	165	2938
8	179	2816
9	195	2732
10	210	2658
11	226	2608
12	247	2606
13	267	2598
14	285	2572
15	303	2544
16	319	2499
17	336	2464
18	350	2415
19	363	2363
20	378	2324
21	393	2289
22	408	2254
23	422	2216
24	435	2176
25	451	2153
26	466	2126
27	480	2094
28	493	2060
29	507	2030
30	523	2008
31	536	1979
32	550	1952
33	563	1923
34	575	1892
35	588	1864
36	601	1836
37	614	1810
38	627	1785
39	640	1760
40	656	1745
41	670	1725
42	685	1705
43	698	1682
44	712	1662
45	726	1641
46	740	1622
47	754	1602
48	769	1586
49	783	1566
50	798	1550
51	812	1530
52	822	1505
53	838	1490
54	854	1476
55	870	1460
56	898	1466
57	912	1448
58	928	1432
59	944	1416
60	958	1398
61	973	1381
62	987	1364
63	1000	1345
64	1014	1327
65	1028	1308
66	1041	1289
67	1056	1273
68	1070	1256
69	1084	1239
70	1100	1224
71	1115	1208
72	1129	1191
73	1142	1172
74	1153	1153
75	1166	1135
76	1180	1119
77	1192	1100
78	1204	1082
79	1217	1065
80	1230	1048
81	1242	1030
82	1255	1013
83	1268	996
84	1280	979
85	1294	963
86	1308	947
87	1323	932
88	1336	916
89	1350	900
90	1363	884
91	1376	867
92	1388	851
93	1400	834
94	1413	818
95	1426	802
96	1439	786
97	1452	770
98	1463	753
99	1476	738
100	1489	722
101	1502	707
102	1515	691
103	1530	676
104	1542	661
105	1555	645
106	1567	629
107	1579	614
108	1591	598
109	1603	583
110	1615	567
111	1626	551
112	1638	536
113	1648	520
114	1659	505
115	1671	489
116	1682	474
117	1694	459
118	1705	444
119	1718	429
120	1731	414
121	1742	399
122	1754	385
123	1765	370
124	1778	355
125	1789	340
126	1802	326
127	1813	311
128	1823	296
129	1835	282
130	1846	267
131	1857	253
132	1868	238
133	1878	224
134	1893	210
135	1904	196
136	1917	181
137	1930	167
138	1941	153
139	1952	139
140	1964	125
141	1974	111
142	1987	97
143	1998	83
144	2008	69
145	2020	55
146	2032	41
147	2043	27
148	2054	13
149	2065	0
