Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1856.2504
FDW14,OUT017,1230.3984
NCN55,OUT010,759.012
FDQ58,OUT017,4287.752
FDY38,OUT027,7170.666
FDH56,OUT046,2780.3808
FDL48,OUT018,729.051
FDC48,OUT027,1530.6742
FDN33,OUT045,958.752
FDA36,OUT017,3415.554
FDT44,OUT017,1649.8524
FDQ56,OUT045,1929.4884
NCC54,OUT019,761.0094
FDU11,OUT049,2181.1608
DRL59,OUT013,556.6088
FDM24,OUT049,2871.5954
FDI57,OUT045,4532.7664
DRC12,OUT018,5350.3688
NCM42,OUT027,5257.1568
FDA46,OUT010,573.2538
FDA31,OUT013,2942.836
NCJ31,OUT035,1687.1372
FDG52,OUT046,788.3072
NCL19,OUT019,559.272
FDS10,OUT035,1977.426
FDX22,OUT010,249.0092
NCF19,OUT035,679.116
NCE06,OUT046,2886.243
DRC27,OUT046,5650.6446
FDE21,OUT035,1382.2008
NCR42,OUT019,173.108
FDX51,OUT018,1937.478
NCR06,OUT018,186.424
FDU31,OUT027,1547.3192
FDU59,OUT017,2784.3756
FDR03,OUT027,3837.0054
FDS49,OUT027,3273.7386
FDD48,OUT010,214.3876
NCF18,OUT017,3731.809
NCD43,OUT027,3050.6956
NCD54,OUT018,1843.6002
FDY19,OUT010,234.3616
NCY54,OUT017,858.882
NCL19,OUT018,1603.9122
FDP23,OUT010,432.77
FDC26,OUT013,667.1316
FDR14,OUT010,114.5176
NCS41,OUT035,2918.8672
FDF41,OUT035,6404.996
FDU34,OUT046,1897.53
DRH11,OUT046,801.6232
FDM03,OUT013,2465.4574
FDS31,OUT017,2563.33
FDJ20,OUT017,1238.388
FDV44,OUT027,2261.0568
FDG02,OUT049,2458.1336
FDA09,OUT013,4889.6352
FDT04,OUT013,660.4736
FDL58,OUT019,790.9704
FDE52,OUT045,1757.712
FDW12,OUT035,2157.192
FDL51,OUT017,5145.3024
NCY42,OUT027,2694.4926
FDR07,OUT017,2220.443
FDN40,OUT045,1797.66
FDB35,OUT027,2189.8162
FDA22,OUT017,4512.1266
NCL06,OUT046,8132.0812
FDI35,OUT013,4544.085
NCW42,OUT045,4434.228
NCX06,OUT049,3199.8348
FDC37,OUT027,2387.5588
FDZ14,OUT018,2572.6512
DRG49,OUT049,7086.1094
NCG06,OUT045,3815.034
DRC36,OUT045,4377.635
FDV21,OUT019,755.0172
FDB53,OUT046,3877.6192
DRP47,OUT019,251.6724
FDA14,OUT013,1571.288
DRC24,OUT035,3383.5956
FDW21,OUT018,1675.1528
NCH29,OUT046,2153.1972
FDU58,OUT013,3605.307
FDY27,OUT017,535.3032
FDV56,OUT035,1186.4556
FDT59,OUT046,4580.704
FDB23,OUT046,5642.655
FDR49,OUT045,1071.938
FDB03,OUT010,641.1654
FDN39,OUT045,3073.9986
FDX02,OUT027,7073.4592
FDQ16,OUT027,2387.5588
FDU35,OUT018,1897.53
NCT29,OUT013,2709.806
FDZ27,OUT046,437.4306
FDN57,OUT017,263.6568
FDA03,OUT018,2346.945
FDZ36,OUT045,3914.904
NCU05,OUT013,1198.44
FDT39,OUT018,3778.415
FDK60,OUT017,856.8846
FDZ25,OUT017,3735.138
FDG12,OUT046,2463.46
DRB01,OUT019,565.2642
NCC43,OUT027,3297.7074
FDX13,OUT019,251.6724
FDM22,OUT049,571.2564
FDJ03,OUT027,1298.31
FDU14,OUT018,5626.01
FDB33,OUT010,431.4384
FDP27,OUT046,1314.2892
FDO38,OUT010,229.701
FDE28,OUT027,7883.072
FDO27,OUT035,2496.75
DRL23,OUT027,3050.6956
FDS28,OUT046,687.1056
FDX24,OUT013,1358.232
FDZ02,OUT035,587.2356
FDL46,OUT045,942.7728
FDS60,OUT027,1605.9096
NCO06,OUT017,830.9184
FDO16,OUT035,1414.825
FDC60,OUT049,2833.6448
FDA48,OUT018,5851.0504
FDZ36,OUT027,4442.2176
FDK27,OUT045,2277.036
FDW23,OUT018,407.4696
FDM14,OUT018,1857.582
FDM14,OUT013,2024.032
FDW60,OUT018,1416.8224
FDE21,OUT013,1374.2112
NCM42,OUT035,1310.2944
FDY59,OUT010,193.082
DRI49,OUT049,2030.69
FDT28,OUT019,151.1366
FDQ22,OUT018,878.856
FDR60,OUT049,1655.1788
FDC50,OUT019,469.389
FDV24,OUT013,2217.114
DRF48,OUT010,790.9704
FDQ47,OUT046,607.2096
DRN36,OUT049,479.376
NCY06,OUT035,3983.4814
FDE52,OUT035,1831.6158
NCB54,OUT045,1761.7068
NCF31,OUT035,1821.6288
FDJ08,OUT027,7192.6374
NCC07,OUT017,852.224
NCD19,OUT027,2129.2284
FDL46,OUT049,2607.2728
FDM20,OUT045,6615.3888
NCI06,OUT010,360.8636
DRM11,OUT035,3139.9128
NCH07,OUT018,1104.5622
FDS23,OUT013,1927.491
FDO49,OUT018,295.6152
FDS35,OUT049,1128.531
DRK39,OUT045,1414.825
DRI39,OUT049,468.7232
FDV04,OUT017,1257.0304
NCN14,OUT035,3415.554
FDH08,OUT013,6201.927
FDS20,OUT046,5715.2272
FDV40,OUT049,739.038
FDZ48,OUT010,223.7088
FDS24,OUT027,2067.309
FDK44,OUT049,347.5476
FDS48,OUT045,1062.6168
FDK26,OUT010,555.2772
FDD23,OUT045,2057.9878
NCH54,OUT017,4815.0656
NCP14,OUT010,205.0664
FDM60,OUT010,89.2172
FDV24,OUT017,2546.685
FDH08,OUT018,2241.0828
FDS12,OUT027,4916.933
FDR39,OUT027,4013.4424
FDP12,OUT027,910.8144
DRF60,OUT027,8239.9408
FDC09,OUT035,1186.4556
FDF50,OUT018,4729.8432
FDG28,OUT035,2450.144
NCE19,OUT017,1037.3164
NCM53,OUT010,109.1912
NCN18,OUT049,2263.72
FDF32,OUT035,4761.8016
FDF11,OUT013,1442.1228
