Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1775.88834
FDW14,OUT017,954.15798
NCN55,OUT010,611.8036199999999
FDQ58,OUT017,1833.3468800000003
FDY38,OUT027,6599.276439999999
FDH56,OUT046,1768.29822
FDL48,OUT018,692.0325200000001
FDC48,OUT027,1644.0599399999999
FDN33,OUT045,849.0947400000001
FDA36,OUT017,2529.44078
FDT44,OUT017,1490.9259399999999
FDQ56,OUT045,1757.31252
NCC54,OUT019,861.4786200000001
FDU11,OUT049,1806.9812000000002
DRL59,OUT013,864.4747199999999
FDM24,OUT049,2044.20574
FDI57,OUT045,3977.4226200000003
DRC12,OUT018,3558.63442
NCM42,OUT027,3615.82664
FDA46,OUT010,431.1055
FDA31,OUT013,2828.51814
NCJ31,OUT035,3535.13168
FDG52,OUT046,790.3046
NCL19,OUT019,328.43914
FDS10,OUT035,3328.80026
FDX22,OUT010,851.8245200000001
NCF19,OUT035,686.5729599999999
NCE06,OUT046,1985.2824400000002
DRC27,OUT046,4044.0691999999995
FDE21,OUT035,1900.9921600000002
NCR42,OUT019,51.59950000000001
FDX51,OUT018,1715.5668600000001
NCR06,OUT018,288.75746
FDU31,OUT027,5326.0671
FDU59,OUT017,1901.8576999999998
FDR03,OUT027,4883.909320000001
FDS49,OUT027,2953.6219599999995
FDD48,OUT010,201.00502
NCF18,OUT017,3804.44778
NCD43,OUT027,2164.7821199999994
NCD54,OUT018,2896.76264
FDY19,OUT010,211.05859999999998
NCY54,OUT017,2645.0236599999994
NCL19,OUT018,1871.0311599999998
FDP23,OUT010,479.04310000000004
FDC26,OUT013,1629.47892
FDR14,OUT010,136.42242
NCS41,OUT035,3584.86694
FDF41,OUT035,5075.45998
FDU34,OUT046,2275.9707200000003
DRH11,OUT046,951.0953
FDM03,OUT013,2746.4915800000003
FDS31,OUT017,3256.69412
FDJ20,OUT017,1542.6586
FDV44,OUT027,4559.065500000001
FDG02,OUT049,3592.7899599999996
FDA09,OUT013,4672.31808
FDT04,OUT013,676.0533200000001
FDL58,OUT019,655.6132600000001
FDE52,OUT045,1189.9843399999997
FDW12,OUT035,2852.35378
FDL51,OUT017,3522.6812199999995
NCY42,OUT027,2607.00648
FDR07,OUT017,1383.8653
FDN40,OUT045,2246.67552
FDB35,OUT027,2005.4561800000004
FDA22,OUT017,3144.04076
NCL06,OUT046,4946.893999999999
FDI35,OUT013,3620.08776
NCW42,OUT045,4014.9071599999997
NCX06,OUT049,2804.48276
FDC37,OUT027,2272.5085599999998
FDZ14,OUT018,2065.11186
DRG49,OUT049,5787.4665
NCG06,OUT045,3346.2442199999996
DRC36,OUT045,2537.96302
FDV21,OUT019,417.52318
FDB53,OUT046,3876.7536600000008
DRP47,OUT019,573.52012
FDA14,OUT013,1885.27928
DRC24,OUT035,2550.8795400000004
FDW21,OUT018,1398.5794799999999
NCH29,OUT046,1922.89698
FDU58,OUT013,3314.6853
FDY27,OUT017,2692.69494
FDV56,OUT035,1280.46656
FDT59,OUT046,3705.643060000001
FDB23,OUT046,4398.274799999999
FDR49,OUT045,865.40684
FDB03,OUT010,568.72636
FDN39,OUT045,2525.84546
FDX02,OUT027,5588.3922999999995
FDQ16,OUT027,2909.2131
FDU35,OUT018,1517.6911
NCT29,OUT013,1368.95138
FDZ27,OUT046,717.0665999999999
FDN57,OUT017,2779.1823600000002
FDA03,OUT018,2059.11966
FDZ36,OUT045,3573.48176
NCU05,OUT013,1392.7204399999998
FDT39,OUT018,2206.26146
FDK60,OUT017,1876.4907199999998
FDZ25,OUT017,3246.5739599999993
FDG12,OUT046,2904.3527599999998
DRB01,OUT019,981.65552
NCC43,OUT027,5251.63066
FDX13,OUT019,553.0800600000001
FDM22,OUT049,852.1574199999999
FDJ03,OUT027,1659.04044
FDU14,OUT018,4195.27238
FDB33,OUT010,389.02694
FDP27,OUT046,4228.562380000001
FDO38,OUT010,194.28044
FDE28,OUT027,6820.98784
FDO27,OUT035,1355.2359
DRL23,OUT027,2125.76624
FDS28,OUT046,931.8536799999999
FDX24,OUT013,1303.9693000000002
FDZ02,OUT035,1288.6559000000002
FDL46,OUT045,1713.03682
FDS60,OUT027,4282.02612
NCO06,OUT017,540.9625
FDO16,OUT035,1791.40148
FDC60,OUT049,2292.3494
FDA48,OUT018,3142.2430999999997
FDZ36,OUT027,4779.4453
FDK27,OUT045,1565.8284399999998
FDW23,OUT018,661.2725600000001
FDM14,OUT018,989.7116999999998
FDM14,OUT013,989.0458999999998
FDW60,OUT018,2940.8386
FDE21,OUT013,2330.23342
NCM42,OUT035,1835.3442799999998
FDY59,OUT010,188.28824
DRI49,OUT049,1089.51512
FDT28,OUT019,230.96602
FDQ22,OUT018,611.6038799999999
FDR60,OUT049,1056.42486
FDC50,OUT019,304.73666000000003
FDV24,OUT013,2422.38014
DRF48,OUT010,364.32576
FDQ47,OUT046,757.6138199999999
DRN36,OUT049,1396.5820799999997
NCY06,OUT035,2659.67126
FDE52,OUT035,1687.0040399999998
NCB54,OUT045,1596.5883999999999
NCF31,OUT035,1676.95046
FDJ08,OUT027,5299.301939999999
NCC07,OUT017,1814.7044800000003
NCD19,OUT027,1673.9543599999997
FDL46,OUT049,2565.0610800000004
FDM20,OUT045,4834.30722
NCI06,OUT010,334.2316
DRM11,OUT035,4636.89752
NCH07,OUT018,2233.6258399999997
FDS23,OUT013,2129.6944599999997
FDO49,OUT018,764.40498
FDS35,OUT049,1044.50704
DRK39,OUT045,1500.5134600000004
DRI39,OUT049,681.6460399999999
FDV04,OUT017,1587.0674599999998
NCN14,OUT035,2976.05942
FDH08,OUT013,3165.6126799999993
FDS20,OUT046,3645.4547399999997
FDV40,OUT049,981.0563000000002
FDZ48,OUT010,185.42529999999996
FDS24,OUT027,2319.4474600000003
FDK44,OUT049,1364.35736
FDS48,OUT045,2596.88632
FDK26,OUT010,630.8455
FDD23,OUT045,4433.76194
NCH54,OUT017,3411.62578
NCP14,OUT010,164.18628
FDM60,OUT010,70.30847999999999
FDV24,OUT017,2584.56902
FDH08,OUT018,3522.68122
FDS12,OUT027,3003.88986
FDR39,OUT027,4271.30674
FDP12,OUT027,875.7267400000001
DRF60,OUT027,5179.125040000001
FDC09,OUT035,1472.48328
FDF50,OUT018,2445.8163
FDG28,OUT035,2747.29054
NCE19,OUT017,815.0057800000001
NCM53,OUT010,195.0794
NCN18,OUT049,1392.72044
FDF32,OUT035,3353.90092
FDF11,OUT013,3335.7911599999998
DRI59,OUT049,4091.60732
NCG54,OUT035,3184.2550800000004
FDM44,OUT046,1641.3967400000001
FDT57,OUT018,2005.98882
FDV24,OUT046,2798.5571400000003
FDI50,OUT019,628.1823
FDS09,OUT035,784.5121399999999
