iter	RMSE
0	2.43498922
1	2.294387713
2	2.230414484
3	2.179794352
4	2.158358931
5	2.14175978
6	2.129386445
7	2.117189898
8	2.108218268
9	2.104591234
10	2.10005026
11	2.093245644
12	2.087653447
13	2.084139586
14	2.078885959
15	2.075741773
16	2.073493587
17	2.069603634
18	2.066871386
19	2.062121009
20	2.059132031
21	2.057060597
22	2.053721435
23	2.050282886
24	2.048717809
25	2.047791938
26	2.045840476
27	2.045419558
28	2.043941693
29	2.042077025
30	2.040512317
31	2.038762883
32	2.037249319
33	2.036070729
34	2.034942857
35	2.033129607
36	2.03142942
37	2.030272914
38	2.028859815
39	2.027965263
40	2.027554387
41	2.026716995
42	2.026124865
43	2.025944691
44	2.025006965
45	2.023343956
46	2.021949321
47	2.02043097
48	2.018981825
49	2.017776896
50	2.016654277
51	2.015070843
52	2.014967305
53	2.013814491
54	2.012500443
55	2.012110082
56	2.011554082
57	2.010765769
58	2.009911891
