iter	Passed	Remaining
0	10	1558
1	21	1560
2	31	1519
3	40	1479
4	48	1407
5	56	1367
6	64	1326
7	73	1297
8	80	1266
9	88	1238
10	97	1231
11	106	1220
12	113	1199
13	121	1184
14	129	1168
15	138	1156
16	145	1140
17	153	1127
18	161	1115
19	170	1106
20	178	1096
21	187	1092
22	195	1081
23	205	1077
24	213	1066
25	221	1055
26	229	1044
27	237	1032
28	244	1021
29	252	1011
30	260	1001
31	268	991
32	277	982
33	288	982
34	295	971
35	302	958
36	310	948
37	318	939
38	326	930
39	334	919
40	341	908
41	349	898
42	357	890
43	368	888
44	376	878
45	385	870
46	392	860
47	400	852
48	408	841
49	417	834
50	424	824
51	432	814
52	440	806
53	448	796
54	456	787
55	463	777
56	473	771
57	481	763
58	489	754
