iter	RMSE
0	16.25200692
1	15.86613338
2	15.46300375
3	15.09317896
4	14.71044997
5	14.35075839
6	14.02750526
7	13.70254428
8	13.38885596
9	13.05880498
10	12.78472052
11	12.50080776
12	12.22489807
13	11.97643404
14	11.71616748
15	11.47119825
16	11.23771491
17	11.01095621
18	10.80538682
19	10.60347027
20	10.4198854
21	10.23783893
22	10.082895
23	9.917754768
24	9.740937978
25	9.56841428
26	9.416185104
27	9.272907231
28	9.126754594
29	8.987837786
30	8.842381088
31	8.711392239
32	8.571361415
33	8.458616271
34	8.346214331
35	8.233683486
36	8.112516071
37	8.020749826
38	7.923964185
39	7.83396737
40	7.748370978
41	7.669093548
42	7.582377949
43	7.523887058
44	7.445006916
45	7.363281292
46	7.279418063
47	7.196845918
48	7.1193829
49	7.053595158
50	6.990297672
51	6.934770599
52	6.884766737
53	6.835043391
54	6.775373824
55	6.704679847
56	6.657159473
57	6.610050666
58	6.570669482
59	6.522029396
60	6.478315496
61	6.429203417
62	6.392574754
63	6.347472702
64	6.308844687
65	6.273994435
66	6.236145901
67	6.201243924
68	6.163493615
69	6.118664328
70	6.087107159
71	6.04911709
72	6.010319694
73	5.963935798
74	5.928382454
75	5.906279002
76	5.876926831
77	5.859546295
78	5.830098884
79	5.805075189
80	5.776474819
81	5.745551777
82	5.720745034
83	5.699386925
84	5.673649919
85	5.652403596
86	5.630398585
87	5.607964181
88	5.582809309
89	5.554896718
90	5.542015965
91	5.529933035
92	5.499951188
93	5.48032123
94	5.454834111
95	5.420691191
96	5.395138768
97	5.384444028
98	5.367455532
99	5.341533118
100	5.323631253
101	5.305352888
102	5.288448939
103	5.269194959
104	5.253998265
105	5.233223933
106	5.219294434
107	5.204651589
108	5.188800453
109	5.169200338
110	5.153418733
111	5.136840399
112	5.125782538
113	5.113680965
114	5.103885643
115	5.089830185
116	5.077278752
117	5.068727769
118	5.055514935
119	5.044602801
120	5.030221641
121	5.01696945
122	5.00179162
123	4.982715877
124	4.97205347
125	4.958660603
126	4.944976579
127	4.933939179
128	4.922552698
129	4.910496656
130	4.90046131
131	4.886829133
132	4.868956579
133	4.857784892
134	4.848617276
135	4.8334415
136	4.825933196
137	4.806822926
138	4.801336583
139	4.788909372
140	4.780580767
141	4.773751153
142	4.760094358
143	4.752878303
144	4.74084369
145	4.727033156
146	4.718815002
147	4.704867977
148	4.691999451
149	4.679865639
150	4.670300433
151	4.659878793
152	4.654260385
153	4.639283628
154	4.624887002
155	4.616008044
156	4.605996217
157	4.590908517
158	4.580536735
159	4.570553118
160	4.562952465
161	4.556129469
162	4.543450354
163	4.535302404
164	4.525217262
165	4.517186438
166	4.501948402
167	4.492993875
168	4.481473063
169	4.471454385
170	4.463641854
171	4.451095541
172	4.440129571
173	4.423926933
174	4.417754783
175	4.41684093
176	4.409226957
177	4.402490873
178	4.397809297
179	4.386045077
180	4.378349873
181	4.367185882
182	4.35899379
183	4.348134787
184	4.343077672
185	4.333694234
186	4.324032581
187	4.31722093
188	4.31247822
189	4.307538746
190	4.302672546
191	4.293562089
192	4.285749544
193	4.275786022
194	4.272813821
195	4.26580087
196	4.259393815
197	4.248841897
198	4.238957275
199	4.232886419
200	4.229098293
201	4.21710472
202	4.203930954
203	4.198478135
204	4.186649894
205	4.184265075
206	4.173713525
207	4.171179886
208	4.158242952
209	4.149753923
210	4.144649951
211	4.142980454
212	4.134233173
213	4.128769214
214	4.124733338
215	4.11679871
216	4.102324527
217	4.087240833
218	4.080082696
219	4.077085216
220	4.064273618
221	4.059859142
222	4.046189928
223	4.043419639
224	4.033509783
225	4.025216994
226	4.020783594
227	4.01787553
228	4.010201146
229	4.0029226
230	3.99937327
231	3.98798009
232	3.977432298
233	3.969999324
234	3.960164185
235	3.954447886
236	3.950728152
237	3.948054038
238	3.929453522
239	3.921492609
240	3.918864297
241	3.908647039
242	3.90357151
243	3.894659922
244	3.890468902
245	3.888643056
246	3.878140223
247	3.865985464
248	3.856074795
249	3.853963946
250	3.849506476
251	3.840153688
252	3.838693714
253	3.834013232
254	3.823362861
255	3.811294213
256	3.801703685
257	3.800310626
258	3.798242935
259	3.797162507
260	3.787464603
261	3.780084417
262	3.779094326
263	3.770469076
264	3.762628312
265	3.761738942
266	3.751687516
267	3.75070274
268	3.74120224
269	3.739223964
270	3.73175285
271	3.72384834
272	3.720086962
273	3.709888765
274	3.705906295
275	3.69764593
276	3.689888715
277	3.680765808
278	3.673387573
279	3.670603179
280	3.668255689
281	3.657214242
282	3.648788911
283	3.647406811
284	3.639633949
285	3.635613489
286	3.628473947
287	3.621456403
288	3.612615875
289	3.605622378
290	3.596554369
291	3.595783158
292	3.589074856
293	3.588271485
294	3.579517187
295	3.567535795
296	3.561015496
297	3.554293019
298	3.544447214
299	3.54364305
300	3.538601099
301	3.537895187
302	3.529974863
303	3.52441548
304	3.518508534
305	3.517715622
306	3.507940196
307	3.499060257
308	3.491160466
309	3.487188917
310	3.486083826
311	3.485334647
312	3.481381704
313	3.474390928
314	3.466717506
315	3.465092461
316	3.462686003
317	3.452606398
318	3.451992268
319	3.447073326
320	3.438593247
321	3.432338151
322	3.425098805
323	3.418824272
324	3.412677428
325	3.407091658
326	3.401613915
327	3.393780494
328	3.388457806
329	3.380228051
330	3.375937634
331	3.37527232
332	3.371909909
333	3.365609861
334	3.357584481
335	3.356953237
336	3.356422913
337	3.35249921
338	3.351985841
339	3.346739487
340	3.346241775
341	3.345681301
342	3.337454262
343	3.337009026
344	3.33266255
345	3.324422667
346	3.315712303
347	3.310370248
348	3.303949641
349	3.297032917
350	3.291142353
351	3.28517542
352	3.28101575
353	3.280496714
354	3.28006059
355	3.273385223
356	3.272960441
357	3.267949076
358	3.267537505
359	3.267076214
360	3.260683237
361	3.260296576
362	3.255530764
363	3.249182986
364	3.24463834
365	3.244204995
366	3.238510801
367	3.231358473
368	3.225200082
369	3.221040447
370	3.21532997
371	3.2077421
372	3.197193962
373	3.19248746
374	3.185882855
375	3.179045719
376	3.170765855
377	3.165129492
378	3.159053818
379	3.154140932
380	3.149819869
381	3.143345936
382	3.135437419
383	3.130645243
384	3.124912491
385	3.121035758
386	3.113098036
387	3.108540099
388	3.102839346
389	3.097937219
390	3.09752982
391	3.089817574
392	3.084943081
393	3.078776456
394	3.072989987
395	3.0696737
396	3.064807408
397	3.058038018
398	3.050806539
399	3.050472179
400	3.045842225
401	3.041356173
402	3.037873766
403	3.031418841
404	3.031034569
405	3.025903232
406	3.021683741
407	3.016413505
408	3.011844761
409	3.005812883
410	3.001289031
411	2.996842633
412	2.996520941
