iter	Passed	Remaining
0	2	2906
1	5	2795
2	11	3889
3	14	3603
4	17	3443
5	19	3301
6	22	3244
7	25	3170
8	28	3100
9	30	3064
10	33	3025
11	36	2997
12	39	2997
13	41	2948
14	44	2900
15	46	2868
16	49	2834
17	51	2792
18	53	2760
19	55	2722
20	57	2698
21	60	2671
22	62	2643
23	64	2613
24	66	2585
25	68	2577
26	71	2569
27	73	2559
28	75	2538
29	77	2520
30	80	2503
31	82	2484
32	84	2464
33	86	2449
34	88	2436
35	90	2423
36	92	2405
37	94	2387
38	96	2370
39	98	2354
40	99	2336
41	102	2327
42	103	2313
43	105	2295
44	107	2280
45	109	2265
46	112	2276
47	114	2272
48	117	2272
49	120	2283
50	122	2286
51	125	2284
52	127	2283
53	130	2279
54	132	2275
55	135	2276
56	137	2275
57	140	2275
58	144	2305
59	146	2298
60	149	2296
61	151	2290
62	153	2286
63	155	2280
64	159	2296
65	162	2295
66	164	2294
67	167	2293
68	169	2292
69	172	2291
70	174	2289
71	177	2287
72	180	2285
73	182	2283
74	184	2279
75	187	2277
76	190	2285
77	193	2284
78	195	2280
79	197	2276
80	200	2273
81	202	2268
82	204	2263
83	207	2257
84	209	2252
85	211	2248
86	213	2241
87	215	2235
88	217	2229
89	219	2222
90	221	2215
91	223	2207
92	225	2199
93	227	2192
94	229	2186
95	231	2178
96	233	2171
97	235	2163
98	238	2168
99	240	2162
100	242	2154
101	244	2150
102	246	2143
103	247	2135
104	249	2128
105	252	2128
106	254	2122
107	256	2116
108	258	2110
109	260	2108
110	262	2104
111	264	2100
112	266	2095
113	268	2089
114	270	2084
115	272	2079
116	275	2076
117	277	2071
118	279	2068
119	281	2062
120	283	2058
121	285	2053
122	287	2049
123	289	2044
124	291	2040
125	293	2037
126	295	2033
127	297	2028
128	299	2024
129	301	2020
130	303	2015
131	305	2011
132	307	2006
133	309	2002
134	311	1997
135	314	1995
136	316	1991
137	317	1986
138	319	1981
139	321	1976
140	323	1971
141	325	1966
142	327	1961
143	329	1957
144	331	1952
145	332	1947
146	334	1942
147	336	1937
148	338	1932
149	340	1930
150	342	1925
151	344	1921
152	346	1916
153	348	1911
154	349	1907
155	351	1903
156	353	1898
157	356	1901
158	362	1914
159	363	1910
160	365	1906
161	367	1902
162	369	1899
163	372	1896
164	374	1897
165	376	1893
166	378	1889
167	380	1886
168	382	1882
169	385	1882
170	387	1879
171	389	1876
172	391	1872
173	393	1869
174	397	1875
175	398	1867
176	400	1863
177	402	1860
178	404	1855
179	406	1851
180	408	1848
181	410	1844
182	412	1840
183	416	1848
184	418	1844
185	420	1841
186	422	1837
187	424	1834
188	426	1830
189	428	1828
190	430	1824
191	432	1821
192	434	1817
193	436	1814
194	439	1816
195	441	1812
196	443	1808
197	445	1805
198	447	1801
199	449	1798
200	451	1795
201	453	1792
202	455	1790
203	457	1786
204	459	1783
205	461	1779
206	463	1776
207	465	1773
208	467	1769
209	469	1766
210	471	1763
211	472	1757
212	474	1754
213	476	1750
214	478	1747
215	480	1744
216	482	1740
217	484	1737
218	486	1734
219	488	1731
220	490	1728
221	492	1724
222	494	1721
223	496	1718
224	497	1715
225	499	1712
226	502	1711
227	506	1714
228	508	1712
229	510	1709
230	512	1706
231	514	1703
232	517	1701
233	519	1699
234	521	1697
235	523	1694
236	525	1690
237	527	1687
238	529	1684
239	531	1682
240	533	1679
241	535	1676
242	537	1673
243	539	1670
244	541	1667
245	543	1664
246	545	1661
247	547	1658
248	549	1656
249	551	1653
250	553	1650
251	554	1647
252	556	1644
253	558	1641
254	560	1638
255	562	1635
256	564	1633
257	566	1630
258	568	1627
259	570	1624
260	572	1621
261	574	1618
262	576	1615
263	579	1614
264	581	1612
265	583	1610
266	585	1607
267	587	1604
268	589	1601
269	591	1598
270	593	1595
271	595	1593
272	597	1591
273	599	1588
274	601	1586
275	603	1583
276	607	1586
277	609	1583
278	612	1582
279	614	1579
280	616	1577
281	618	1574
282	620	1571
283	622	1568
284	624	1566
285	626	1563
286	628	1560
287	630	1558
288	632	1555
289	634	1553
290	636	1550
291	638	1547
292	640	1545
293	642	1542
294	644	1540
295	646	1537
296	648	1535
297	650	1532
298	654	1534
299	656	1532
300	658	1529
